Time,Open,High,Low,Close
07-01-2008,1.4744,1.4747,1.46557,1.46802
08-01-2008,1.4681,1.47428,1.46754,1.47042
09-01-2008,1.4705,1.47427,1.46357,1.46584
10-01-2008,1.46582,1.48133,1.46387,1.4798
11-01-2008,1.47976,1.4819,1.47585,1.47717
13-01-2008,1.47797,1.48159,1.47779,1.48029
14-01-2008,1.48035,1.49146,1.47931,1.48644
15-01-2008,1.48647,1.49219,1.47698,1.4799
16-01-2008,1.4799,1.48583,1.45923,1.4659
17-01-2008,1.46598,1.47141,1.45863,1.46362
18-01-2008,1.4636,1.46941,1.45982,1.46168
20-01-2008,1.46029,1.46042,1.45849,1.45942
21-01-2008,1.45941,1.45977,1.44085,1.44158
22-01-2008,1.44154,1.4684,1.43621,1.4642
23-01-2008,1.46419,1.46518,1.45072,1.46262
24-01-2008,1.46253,1.47779,1.45874,1.47685
25-01-2008,1.47672,1.47736,1.46567,1.46807
27-01-2008,1.46779,1.47084,1.46736,1.4689
28-01-2008,1.46886,1.47977,1.46588,1.47847
29-01-2008,1.47831,1.4788,1.47346,1.47659
30-01-2008,1.47666,1.49073,1.47508,1.48247
31-01-2008,1.48246,1.49137,1.47994,1.48619
01-02-2008,1.48596,1.49468,1.47839,1.47995
03-02-2008,1.48036,1.48057,1.47895,1.48011
04-02-2008,1.47997,1.48482,1.47889,1.48243
05-02-2008,1.48232,1.48314,1.46185,1.46334
06-02-2008,1.46316,1.46699,1.45877,1.46114
07-02-2008,1.46119,1.46513,1.44366,1.44742
08-02-2008,1.44737,1.45475,1.44467,1.4503
10-02-2008,1.45127,1.45279,1.45076,1.45234
11-02-2008,1.45228,1.45786,1.44788,1.44972
12-02-2008,1.44974,1.46141,1.44923,1.4578
13-02-2008,1.45778,1.45988,1.45307,1.4552
14-02-2008,1.45526,1.46475,1.45457,1.46391
15-02-2008,1.46409,1.47084,1.46266,1.46802
17-02-2008,1.4679,1.46806,1.46626,1.46708
18-02-2008,1.46712,1.46901,1.46081,1.46478
19-02-2008,1.46468,1.4756,1.46378,1.47274
20-02-2008,1.47305,1.4733,1.46123,1.47207
21-02-2008,1.472,1.48366,1.46986,1.48108
22-02-2008,1.48095,1.48614,1.47847,1.48235
24-02-2008,1.48363,1.48396,1.48259,1.48307
25-02-2008,1.48313,1.4844,1.47909,1.48303
26-02-2008,1.48312,1.50454,1.47754,1.49949
27-02-2008,1.49948,1.51435,1.49774,1.5115
28-02-2008,1.51132,1.52301,1.50706,1.51913
29-02-2008,1.51908,1.52383,1.51417,1.51762
02-03-2008,1.51928,1.52256,1.51854,1.51987
03-03-2008,1.51987,1.52734,1.51554,1.51957
04-03-2008,1.51958,1.52467,1.51706,1.52044
05-03-2008,1.5204,1.53015,1.51425,1.52749
06-03-2008,1.52764,1.53957,1.52678,1.53792
07-03-2008,1.53811,1.54591,1.53138,1.5354
09-03-2008,1.53607,1.5403,1.53544,1.53924
10-03-2008,1.5392,1.54003,1.53116,1.53352
11-03-2008,1.53349,1.54948,1.52812,1.53355
12-03-2008,1.53372,1.55725,1.53323,1.55386
13-03-2008,1.55392,1.56433,1.55181,1.56189
14-03-2008,1.56194,1.56869,1.55294,1.56714
16-03-2008,1.56745,1.57694,1.56709,1.57478
17-03-2008,1.57478,1.59021,1.56859,1.57418
18-03-2008,1.57425,1.58311,1.56081,1.5653
19-03-2008,1.56519,1.57852,1.55808,1.56345
20-03-2008,1.56355,1.56404,1.53926,1.54357
21-03-2008,1.54324,1.54739,1.54014,1.54269
23-03-2008,1.54349,1.54389,1.54003,1.5403
24-03-2008,1.5406,1.54543,1.53381,1.54316
25-03-2008,1.54311,1.56579,1.54079,1.5609
26-03-2008,1.56093,1.58582,1.55795,1.5819
27-03-2008,1.58185,1.58455,1.57237,1.58086
28-03-2008,1.58101,1.58387,1.57392,1.57918
30-03-2008,1.57956,1.57984,1.57931,1.57963
31-03-2008,1.5796,1.58974,1.57444,1.57568
01-04-2008,1.57559,1.57857,1.55612,1.56168
02-04-2008,1.56158,1.57007,1.5531,1.56732
03-04-2008,1.56731,1.56858,1.55073,1.56599
04-04-2008,1.56575,1.57726,1.56345,1.57352
06-04-2008,1.57302,1.57375,1.57071,1.573
07-04-2008,1.573,1.57308,1.56247,1.57058
08-04-2008,1.57074,1.57983,1.56718,1.56945
09-04-2008,1.5694,1.58645,1.56835,1.58162
10-04-2008,1.58155,1.59143,1.57221,1.57563
11-04-2008,1.57547,1.58564,1.5747,1.58091
13-04-2008,1.57834,1.57834,1.56913,1.57101
14-04-2008,1.57097,1.58867,1.56684,1.58242
15-04-2008,1.58224,1.58754,1.57486,1.57846
16-04-2008,1.5785,1.59786,1.57746,1.59365
17-04-2008,1.59371,1.59826,1.58446,1.59046
18-04-2008,1.59037,1.59566,1.57092,1.5812
20-04-2008,1.58086,1.58207,1.57924,1.5808
21-04-2008,1.58097,1.59466,1.5789,1.59096
22-04-2008,1.59117,1.60183,1.58307,1.59721
23-04-2008,1.5972,1.59977,1.58583,1.58804
24-04-2008,1.58795,1.58836,1.56331,1.56727
25-04-2008,1.56764,1.57063,1.55506,1.56276
27-04-2008,1.56242,1.56291,1.55892,1.56165
28-04-2008,1.56168,1.56924,1.55904,1.5654
29-04-2008,1.56534,1.56587,1.55384,1.55752
30-04-2008,1.55772,1.56415,1.55161,1.56241
01-05-2008,1.56238,1.56425,1.54273,1.54764
02-05-2008,1.54765,1.54978,1.53599,1.54218
04-05-2008,1.5427,1.54394,1.54204,1.54345
05-05-2008,1.54332,1.55196,1.54232,1.55008
06-05-2008,1.55016,1.55945,1.54495,1.55162
07-05-2008,1.55161,1.55188,1.53312,1.53416
08-05-2008,1.53426,1.54407,1.52825,1.54032
09-05-2008,1.54045,1.54886,1.53889,1.54811
11-05-2008,1.54831,1.54831,1.54384,1.54656
12-05-2008,1.54662,1.55699,1.53627,1.55301
13-05-2008,1.55298,1.55653,1.54275,1.54683
14-05-2008,1.5471,1.5486,1.53925,1.5464
15-05-2008,1.54648,1.5547,1.54173,1.54563
16-05-2008,1.54579,1.56019,1.54463,1.55748
18-05-2008,1.55779,1.5598,1.55687,1.55812
19-05-2008,1.55802,1.56333,1.54811,1.55264
20-05-2008,1.55259,1.56796,1.55035,1.56472
21-05-2008,1.56458,1.57965,1.56287,1.57787
22-05-2008,1.5779,1.5813,1.56893,1.573
23-05-2008,1.57318,1.57939,1.56947,1.57578
25-05-2008,1.57652,1.57831,1.57457,1.57776
26-05-2008,1.57769,1.5791,1.57391,1.57763
27-05-2008,1.57781,1.58178,1.56695,1.56867
28-05-2008,1.56859,1.576,1.56056,1.56545
29-05-2008,1.56545,1.5662,1.548,1.5515
30-05-2008,1.5513,1.55682,1.54594,1.55499
01-06-2008,1.55512,1.55655,1.55455,1.55564
02-06-2008,1.5557,1.55881,1.54845,1.5538
03-06-2008,1.55384,1.56275,1.54085,1.54489
04-06-2008,1.5448,1.54825,1.54157,1.5432
05-06-2008,1.54323,1.56045,1.53633,1.5595
06-06-2008,1.55928,1.5778,1.55691,1.57748
08-06-2008,1.57831,1.57986,1.57719,1.57792
09-06-2008,1.57787,1.58432,1.5616,1.56469
10-06-2008,1.56495,1.56495,1.54371,1.54574
11-06-2008,1.54582,1.55868,1.54507,1.5558
12-06-2008,1.55585,1.55628,1.53764,1.54457
13-06-2008,1.54456,1.54621,1.53004,1.5377
15-06-2008,1.53826,1.54126,1.53779,1.53829
16-06-2008,1.5383,1.55188,1.53433,1.54635
17-06-2008,1.54622,1.55514,1.54558,1.55152
18-06-2008,1.55156,1.55513,1.54598,1.5543
19-06-2008,1.55447,1.55863,1.54631,1.54961
20-06-2008,1.54983,1.5651,1.54878,1.56028
22-06-2008,1.56153,1.56357,1.55917,1.5602
23-06-2008,1.56006,1.56268,1.54661,1.55202
24-06-2008,1.55192,1.56216,1.54876,1.5572
25-06-2008,1.55731,1.56872,1.55335,1.56626
26-06-2008,1.56656,1.57672,1.56249,1.57593
27-06-2008,1.57587,1.57924,1.57154,1.57906
29-06-2008,1.57789,1.57979,1.57701,1.57917
30-06-2008,1.57894,1.58359,1.57271,1.5759
01-07-2008,1.57602,1.58249,1.5721,1.57872
02-07-2008,1.57871,1.58917,1.57736,1.58762
03-07-2008,1.58757,1.59117,1.56708,1.56833
04-07-2008,1.56823,1.57262,1.56524,1.57029
06-07-2008,1.57002,1.57064,1.56859,1.5693
07-07-2008,1.56917,1.57533,1.56072,1.57226
08-07-2008,1.5723,1.57392,1.56333,1.56622
09-07-2008,1.56644,1.57494,1.56472,1.57282
10-07-2008,1.57315,1.58022,1.56876,1.5785
11-07-2008,1.5791,1.59472,1.57604,1.59368
13-07-2008,1.59498,1.59709,1.58954,1.5899
14-07-2008,1.59008,1.5935,1.58392,1.58872
15-07-2008,1.58888,1.60389,1.58643,1.5915
16-07-2008,1.59157,1.59477,1.57985,1.58242
17-07-2008,1.58216,1.58929,1.57815,1.58502
18-07-2008,1.58501,1.58867,1.58035,1.58448
20-07-2008,1.58418,1.58461,1.58265,1.58422
21-07-2008,1.58424,1.59313,1.58296,1.59103
22-07-2008,1.5913,1.59442,1.57536,1.57772
23-07-2008,1.57782,1.57989,1.56664,1.56812
24-07-2008,1.56809,1.57139,1.56253,1.5683
25-07-2008,1.56831,1.57537,1.56588,1.57043
27-07-2008,1.57047,1.57067,1.56801,1.56896
28-07-2008,1.56909,1.57683,1.56809,1.57422
29-07-2008,1.57434,1.57573,1.55493,1.55882
30-07-2008,1.55877,1.56166,1.55183,1.55805
31-07-2008,1.55793,1.56995,1.55658,1.55812
01-08-2008,1.55825,1.55886,1.55142,1.55609
03-08-2008,1.55638,1.5579,1.55586,1.55658
04-08-2008,1.55662,1.56306,1.55526,1.55638
05-08-2008,1.55624,1.55646,1.54442,1.5464
06-08-2008,1.5465,1.55167,1.53956,1.54195
07-08-2008,1.54205,1.55019,1.53068,1.53109
08-08-2008,1.53117,1.53128,1.4993,1.50032
10-08-2008,1.5,1.5,1.49026,1.49321
11-08-2008,1.49333,1.50835,1.48786,1.49121
12-08-2008,1.49117,1.49646,1.48112,1.48911
13-08-2008,1.48891,1.49796,1.48397,1.48963
14-08-2008,1.48968,1.49499,1.47572,1.47726
15-08-2008,1.47727,1.47928,1.46554,1.46856
17-08-2008,1.46988,1.47009,1.4696,1.4699
18-08-2008,1.46976,1.47679,1.4666,1.46944
19-08-2008,1.4694,1.48043,1.46272,1.47914
20-08-2008,1.47911,1.47985,1.46685,1.47499
21-08-2008,1.4749,1.49078,1.47398,1.4887
22-08-2008,1.48851,1.48949,1.47568,1.47909
24-08-2008,1.47803,1.47901,1.47737,1.47805
25-08-2008,1.4781,1.48067,1.46921,1.47242
26-08-2008,1.4725,1.47269,1.45655,1.46429
27-08-2008,1.46437,1.47761,1.46419,1.4743
28-08-2008,1.47462,1.48103,1.46691,1.47013
29-08-2008,1.47026,1.47674,1.46368,1.46714
31-08-2008,1.46748,1.47198,1.46748,1.46967
01-09-2008,1.46962,1.47029,1.45543,1.4581
02-09-2008,1.45808,1.45981,1.44626,1.44873
03-09-2008,1.44866,1.45219,1.43811,1.45129
04-09-2008,1.45134,1.45438,1.42108,1.42572
05-09-2008,1.42574,1.43462,1.41957,1.42666
07-09-2008,1.42658,1.43986,1.42658,1.43524
08-09-2008,1.4351,1.4428,1.40516,1.4133
09-09-2008,1.41335,1.42267,1.40435,1.40919
10-09-2008,1.40922,1.41796,1.39332,1.39359
11-09-2008,1.39351,1.4038,1.38778,1.40064
12-09-2008,1.40081,1.42325,1.39683,1.42204
14-09-2008,1.42253,1.43488,1.42253,1.43163
15-09-2008,1.43164,1.44821,1.4082,1.42425
